,confidence,subject,block,block_difficulty,block_value_level,block_stimulus_type,block_ntrials_phase1,block_ntrials_phase2,trial_difficulty,trial_value_chosen,trial_number
8256,0,16,8,6,18,0,9,10,12,30,9.0
8326,1,16,10,3,18,0,9,15,3,21,0.0
8327,2,16,10,3,18,0,9,15,6,18,1.0
8328,1,16,10,3,18,0,9,15,3,15,2.0
8329,1,16,10,3,18,0,9,15,9,15,3.0
8330,2,16,10,3,18,0,9,15,9,15,4.0
8331,1,16,10,3,18,0,9,15,3,15,5.0
8332,1,16,10,3,18,0,9,15,6,15,6.0
8333,2,16,10,3,18,0,9,15,6,18,7.0
8334,2,16,10,3,18,0,9,15,9,15,8.0
8335,1,16,10,3,18,0,9,15,6,15,9.0
8336,2,16,10,3,18,0,9,15,6,18,10.0
8337,2,16,10,3,18,0,9,15,9,15,11.0
8338,1,16,10,3,18,0,9,15,9,15,12.0
8339,1,16,10,3,18,0,9,15,3,18,13.0
8340,2,16,10,3,18,0,9,15,3,18,14.0
8373,1,17,0,6,28,1,9,5,6,28,0.0
8374,1,17,0,6,28,1,9,5,12,28,1.0
8375,3,17,0,6,28,1,9,5,6,22,2.0
8376,1,17,0,6,28,1,9,5,6,34,3.0
8377,2,17,0,6,28,1,9,5,12,34,4.0
8420,1,17,1,3,23,0,9,5,6,20,0.0
8421,1,17,1,3,23,0,9,5,3,29,1.0
8423,2,17,1,3,23,0,9,5,3,23,3.0
8424,2,17,1,3,23,0,9,5,3,20,4.0
8471,6,17,2,3,18,1,18,10,3,21,0.0
8472,3,17,2,3,18,1,18,10,6,18,1.0
8473,5,17,2,3,18,1,18,10,3,18,2.0
8474,6,17,2,3,18,1,18,10,6,18,3.0
8475,3,17,2,3,18,1,18,10,6,18,4.0
8476,4,17,2,3,18,1,18,10,6,21,5.0
8477,8,17,2,3,18,1,18,10,6,21,6.0
8478,3,17,2,3,18,1,18,10,6,24,7.0
8479,10,17,2,3,18,1,18,10,3,18,8.0
8480,10,17,2,3,18,1,18,10,9,24,9.0
8504,10,17,3,6,23,0,9,5,6,23,0.0
8506,10,17,3,6,23,0,9,5,6,23,2.0
8507,1,17,3,6,23,0,9,5,12,35,3.0
8508,2,17,3,6,23,0,9,5,6,35,4.0
8555,7,17,4,3,28,0,18,10,3,34,0.0
8556,2,17,4,3,28,0,18,10,6,25,1.0
8557,5,17,4,3,28,0,18,10,6,25,2.0
8558,7,17,4,3,28,0,18,10,3,31,3.0
8559,7,17,4,3,28,0,18,10,9,25,4.0
8560,10,17,4,3,28,0,18,10,9,25,5.0
8561,5,17,4,3,28,0,18,10,3,25,6.0
8562,10,17,4,3,28,0,18,10,3,34,7.0
8563,8,17,4,3,28,0,18,10,9,34,8.0
8564,10,17,4,3,28,0,18,10,6,28,9.0
8599,10,17,5,6,18,1,15,15,6,30,0.0
8600,0,17,5,6,18,1,15,15,12,12,1.0
8601,0,17,5,6,18,1,15,15,6,24,2.0
8602,1,17,5,6,18,1,15,15,6,24,3.0
8603,0,17,5,6,18,1,15,15,6,12,4.0
8604,1,17,5,6,18,1,15,15,12,24,5.0
8607,10,17,5,6,18,1,15,15,18,30,8.0
8608,2,17,5,6,18,1,15,15,12,24,9.0
8609,4,17,5,6,18,1,15,15,12,30,10.0
8610,1,17,5,6,18,1,15,15,6,24,11.0
8612,10,17,5,6,18,1,15,15,6,30,13.0
8613,10,17,5,6,18,1,15,15,6,30,14.0
8643,0,17,6,6,23,0,12,10,12,29,0.0
8644,0,17,6,6,23,0,12,10,12,23,1.0
8645,0,17,6,6,23,0,12,10,6,17,2.0
8646,1,17,6,6,23,0,12,10,18,35,3.0
8647,0,17,6,6,23,0,12,10,12,23,4.0
8649,2,17,6,6,23,0,12,10,18,35,6.0
8650,2,17,6,6,23,0,12,10,12,29,7.0
8651,0,17,6,6,23,0,12,10,6,23,8.0
8652,3,17,6,6,23,0,12,10,6,35,9.0
8693,5,17,7,3,28,1,15,15,6,34,0.0
8694,4,17,7,3,28,1,15,15,6,34,1.0
8695,2,17,7,3,28,1,15,15,3,25,2.0
8696,4,17,7,3,28,1,15,15,3,28,3.0
8697,1,17,7,3,28,1,15,15,6,31,4.0
8698,6,17,7,3,28,1,15,15,9,34,5.0
8699,7,17,7,3,28,1,15,15,3,25,6.0
8700,7,17,7,3,28,1,15,15,3,28,7.0
8701,9,17,7,3,28,1,15,15,3,31,8.0
8702,6,17,7,3,28,1,15,15,3,25,9.0
8703,3,17,7,3,28,1,15,15,6,31,10.0
8704,3,17,7,3,28,1,15,15,6,31,11.0
8705,10,17,7,3,28,1,15,15,9,34,12.0
8706,1,17,7,3,28,1,15,15,3,28,13.0
8707,8,17,7,3,28,1,15,15,6,34,14.0
8784,2,17,9,6,23,1,12,15,6,23,0.0
8785,3,17,9,6,23,1,12,15,12,35,1.0
8786,4,17,9,6,23,1,12,15,6,29,2.0
8787,5,17,9,6,23,1,12,15,12,35,3.0
8788,3,17,9,6,23,1,12,15,6,23,4.0
8789,10,17,9,6,23,1,12,15,12,29,5.0
8790,8,17,9,6,23,1,12,15,6,35,6.0
8791,7,17,9,6,23,1,12,15,6,29,7.0
8792,9,17,9,6,23,1,12,15,6,35,8.0
8793,0,17,9,6,23,1,12,15,6,35,9.0
8794,8,17,9,6,23,1,12,15,12,35,10.0
8795,8,17,9,6,23,1,12,15,12,29,11.0
8796,8,17,9,6,23,1,12,15,6,29,12.0
8797,7,17,9,6,23,1,12,15,12,29,13.0
8798,5,17,9,6,23,1,12,15,6,23,14.0
8900,7,18,1,3,28,1,12,10,3,31,0.0
8901,8,18,1,3,28,1,12,10,9,25,1.0
8902,6,18,1,3,28,1,12,10,6,28,2.0
8903,10,18,1,3,28,1,12,10,3,31,3.0
8904,10,18,1,3,28,1,12,10,3,31,4.0
8905,10,18,1,3,28,1,12,10,6,31,5.0
8906,8,18,1,3,28,1,12,10,3,25,6.0
8907,9,18,1,3,28,1,12,10,3,25,7.0
8908,10,18,1,3,28,1,12,10,6,31,8.0
8909,10,18,1,3,28,1,12,10,3,31,9.0
8944,10,18,2,3,18,0,9,15,6,24,0.0
8945,3,18,2,3,18,0,9,15,3,24,1.0
8946,4,18,2,3,18,0,9,15,9,24,2.0
8948,6,18,2,3,18,0,9,15,3,24,4.0
8949,2,18,2,3,18,0,9,15,3,18,5.0
8950,6,18,2,3,18,0,9,15,3,18,6.0
8951,6,18,2,3,18,0,9,15,6,21,7.0
8952,8,18,2,3,18,0,9,15,6,24,8.0
8953,9,18,2,3,18,0,9,15,9,24,9.0
8954,10,18,2,3,18,0,9,15,9,24,10.0
8955,4,18,2,3,18,0,9,15,3,18,11.0
8956,5,18,2,3,18,0,9,15,6,21,12.0
8957,8,18,2,3,18,0,9,15,6,24,13.0
8996,7,18,3,6,23,1,9,5,18,35,0.0
8997,9,18,3,6,23,1,9,5,12,29,1.0
8998,6,18,3,6,23,1,9,5,6,23,2.0
8999,8,18,3,6,23,1,9,5,12,29,3.0
9000,7,18,3,6,23,1,9,5,6,29,4.0
9079,7,18,5,6,28,0,18,15,6,28,0.0
9080,10,18,5,6,28,0,18,15,18,40,1.0
9081,10,18,5,6,28,0,18,15,12,40,2.0
9082,10,18,5,6,28,0,18,15,18,40,3.0
9083,10,18,5,6,28,0,18,15,18,40,4.0
9084,7,18,5,6,28,0,18,15,6,40,5.0
9085,8,18,5,6,28,0,18,15,6,28,6.0
9086,7,18,5,6,28,0,18,15,12,34,7.0
9087,6,18,5,6,28,0,18,15,6,28,8.0
9088,10,18,5,6,28,0,18,15,18,40,9.0
9090,10,18,5,6,28,0,18,15,12,40,11.0
9091,10,18,5,6,28,0,18,15,6,40,12.0
9092,10,18,5,6,28,0,18,15,12,40,13.0
9093,7,18,5,6,28,0,18,15,18,40,14.0
9123,10,18,6,6,18,1,15,10,6,24,0.0
9124,10,18,6,6,18,1,15,10,6,24,1.0
9125,8,18,6,6,18,1,15,10,6,24,2.0
9126,8,18,6,6,18,1,15,10,6,24,3.0
9127,8,18,6,6,18,1,15,10,6,24,4.0
9128,10,18,6,6,18,1,15,10,18,30,5.0
9129,8,18,6,6,18,1,15,10,6,24,6.0
9130,10,18,6,6,18,1,15,10,12,24,7.0
9131,10,18,6,6,18,1,15,10,12,24,8.0
9132,9,18,6,6,18,1,15,10,12,30,9.0
9173,10,18,7,3,28,0,18,10,6,31,0.0
9174,10,18,7,3,28,0,18,10,3,31,1.0
9175,8,18,7,3,28,0,18,10,6,28,2.0
9176,9,18,7,3,28,0,18,10,3,28,3.0
9177,10,18,7,3,28,0,18,10,3,31,4.0
9178,9,18,7,3,28,0,18,10,3,28,5.0
9179,6,18,7,3,28,0,18,10,9,25,6.0
9180,6,18,7,3,28,0,18,10,9,34,7.0
9181,8,18,7,3,28,0,18,10,9,34,8.0
9182,10,18,7,3,28,0,18,10,6,31,9.0
9222,10,18,8,6,23,0,15,15,12,29,0.0
9223,10,18,8,6,23,0,15,15,6,29,1.0
9224,10,18,8,6,23,0,15,15,6,29,2.0
9225,10,18,8,6,23,0,15,15,6,29,3.0
9226,6,18,8,6,23,0,15,15,18,35,4.0
9227,7,18,8,6,23,0,15,15,6,23,5.0
9229,7,18,8,6,23,0,15,15,6,23,7.0
9230,8,18,8,6,23,0,15,15,6,23,8.0
9231,4,18,8,6,23,0,15,15,18,35,9.0
9232,10,18,8,6,23,0,15,15,12,29,10.0
9233,5,18,8,6,23,0,15,15,12,23,11.0
9235,10,18,8,6,23,0,15,15,6,29,13.0
9236,10,18,8,6,23,0,15,15,6,29,14.0
9276,6,18,9,3,18,1,12,5,6,24,0.0
9277,6,18,9,3,18,1,12,5,9,24,1.0
9278,6,18,9,3,18,1,12,5,3,21,2.0
9279,6,18,9,3,18,1,12,5,3,15,3.0
9280,10,18,9,3,18,1,12,5,6,24,4.0
9324,10,18,10,6,28,1,18,5,18,40,0.0
9325,10,18,10,6,28,1,18,5,12,40,1.0
9326,10,18,10,6,28,1,18,5,6,28,2.0
9327,6,18,10,6,28,1,18,5,12,34,3.0
9328,10,18,10,6,28,1,18,5,12,40,4.0
9366,3,19,0,6,23,1,18,15,6,23,0.0
9367,2,19,0,6,23,1,18,15,6,29,1.0
9368,10,19,0,6,23,1,18,15,18,35,2.0
9369,10,19,0,6,23,1,18,15,12,35,3.0
9370,2,19,0,6,23,1,18,15,6,17,4.0
9371,3,19,0,6,23,1,18,15,12,17,5.0
9372,6,19,0,6,23,1,18,15,6,29,6.0
9373,6,19,0,6,23,1,18,15,6,23,7.0
9374,6,19,0,6,23,1,18,15,6,29,8.0
9375,10,19,0,6,23,1,18,15,6,35,9.0
9376,10,19,0,6,23,1,18,15,12,35,10.0
9377,10,19,0,6,23,1,18,15,12,35,11.0
9379,10,19,0,6,23,1,18,15,12,35,13.0
9414,10,19,1,3,28,0,9,10,3,34,0.0
9415,10,19,1,3,28,0,9,10,3,34,1.0
9416,10,19,1,3,28,0,9,10,3,25,2.0
9417,10,19,1,3,28,0,9,10,6,25,3.0
9418,10,19,1,3,28,0,9,10,6,34,4.0
9419,3,19,1,3,28,0,9,10,3,28,5.0
9420,7,19,1,3,28,0,9,10,3,34,6.0
9421,6,19,1,3,28,0,9,10,3,31,7.0
9422,6,19,1,3,28,0,9,10,3,31,8.0
9423,7,19,1,3,28,0,9,10,3,34,9.0
9464,10,19,2,6,18,1,12,10,6,24,0.0
9465,7,19,2,6,18,1,12,10,6,30,1.0
9466,10,19,2,6,18,1,12,10,18,30,2.0
9468,10,19,2,6,18,1,12,10,12,30,4.0
9469,10,19,2,6,18,1,12,10,12,24,5.0
9470,3,19,2,6,18,1,12,10,6,18,6.0
9471,6,19,2,6,18,1,12,10,6,24,7.0
9472,6,19,2,6,18,1,12,10,6,30,8.0
9473,10,19,2,6,18,1,12,10,18,30,9.0
9512,3,19,3,3,18,0,18,15,3,18,0.0
9513,4,19,3,3,18,0,18,15,9,24,1.0
9514,4,19,3,3,18,0,18,15,3,18,2.0
9515,6,19,3,3,18,0,18,15,6,21,3.0
9516,5,19,3,3,18,0,18,15,6,21,4.0
9517,1,19,3,3,18,0,18,15,3,21,5.0
9518,2,19,3,3,18,0,18,15,3,18,6.0
9519,4,19,3,3,18,0,18,15,6,24,7.0
9520,4,19,3,3,18,0,18,15,3,21,8.0
9521,5,19,3,3,18,0,18,15,9,24,9.0
9522,3,19,3,3,18,0,18,15,3,18,10.0
9523,4,19,3,3,18,0,18,15,6,24,11.0
9524,3,19,3,3,18,0,18,15,6,21,12.0
9525,4,19,3,3,18,0,18,15,9,24,13.0
9526,4,19,3,3,18,0,18,15,9,24,14.0
9559,10,19,4,6,28,0,12,5,6,28,1.0
9560,10,19,4,6,28,0,12,5,12,40,2.0
9561,10,19,4,6,28,0,12,5,6,28,3.0
9562,4,19,4,6,28,0,12,5,12,34,4.0
9600,2,19,5,3,23,1,12,5,6,26,0.0
9601,10,19,5,3,23,1,12,5,9,29,1.0
9602,10,19,5,3,23,1,12,5,6,29,2.0
9604,8,19,5,3,23,1,12,5,3,23,4.0
9645,3,19,6,6,23,0,15,10,12,17,0.0
9646,10,19,6,6,23,0,15,10,18,35,1.0
9647,10,19,6,6,23,0,15,10,18,35,2.0
9648,10,19,6,6,23,0,15,10,18,35,3.0
9649,2,19,6,6,23,0,15,10,12,17,4.0
9650,10,19,6,6,23,0,15,10,12,35,5.0
9651,10,19,6,6,23,0,15,10,6,35,6.0
9652,2,19,6,6,23,0,15,10,6,23,7.0
9653,10,19,6,6,23,0,15,10,6,35,8.0
9654,10,19,6,6,23,0,15,10,12,35,9.0
9732,4,19,8,6,18,1,18,15,6,18,0.0
9733,10,19,8,6,18,1,18,15,12,24,1.0
9734,10,19,8,6,18,1,18,15,6,18,2.0
9735,10,19,8,6,18,1,18,15,6,18,3.0
9736,10,19,8,6,18,1,18,15,6,18,4.0
9737,10,19,8,6,18,1,18,15,18,30,5.0
9738,10,19,8,6,18,1,18,15,12,30,6.0
9739,10,19,8,6,18,1,18,15,18,30,7.0
9740,10,19,8,6,18,1,18,15,18,30,8.0
9741,6,19,8,6,18,1,18,15,6,24,9.0
9742,10,19,8,6,18,1,18,15,12,24,10.0
9743,10,19,8,6,18,1,18,15,18,30,11.0
9744,10,19,8,6,18,1,18,15,18,30,12.0
9745,6,19,8,6,18,1,18,15,6,24,13.0
9746,6,19,8,6,18,1,18,15,6,24,14.0
9819,9,19,10,6,28,0,15,5,6,28,1.0
9820,10,19,10,6,28,0,15,5,6,40,2.0
9821,10,19,10,6,28,0,15,5,6,28,3.0
9822,10,19,10,6,28,0,15,5,6,40,4.0
9852,4,20,0,6,23,1,12,5,6,23,0.0
9853,8,20,0,6,23,1,12,5,12,35,1.0
9854,6,20,0,6,23,1,12,5,6,23,2.0
9855,9,20,0,6,23,1,12,5,12,35,3.0
9856,9,20,0,6,23,1,12,5,18,35,4.0
9899,2,20,1,3,28,0,12,15,3,28,0.0
9900,10,20,1,3,28,0,12,15,9,34,1.0
9901,10,20,1,3,28,0,12,15,3,34,2.0
9902,5,20,1,3,28,0,12,15,3,31,3.0
9903,10,20,1,3,28,0,12,15,3,34,4.0
9904,0,20,1,3,28,0,12,15,6,25,5.0
9905,10,20,1,3,28,0,12,15,9,34,6.0
9906,7,20,1,3,28,0,12,15,6,31,7.0
9907,10,20,1,3,28,0,12,15,6,34,8.0
9908,5,20,1,3,28,0,12,15,3,28,9.0
9909,5,20,1,3,28,0,12,15,3,31,10.0
9910,5,20,1,3,28,0,12,15,6,31,11.0
9912,9,20,1,3,28,0,12,15,3,34,13.0
9913,10,20,1,3,28,0,12,15,9,34,14.0
9954,1,20,2,3,18,0,15,15,3,18,0.0
9955,3,20,2,3,18,0,15,15,3,21,1.0
9956,6,20,2,3,18,0,15,15,3,18,2.0
9957,5,20,2,3,18,0,15,15,3,18,3.0
9958,7,20,2,3,18,0,15,15,3,21,4.0
9959,3,20,2,3,18,0,15,15,6,21,5.0
9960,7,20,2,3,18,0,15,15,6,21,6.0
9961,2,20,2,3,18,0,15,15,6,21,7.0
9962,5,20,2,3,18,0,15,15,3,21,8.0
9963,0,20,2,3,18,0,15,15,3,24,9.0
9964,0,20,2,3,18,0,15,15,3,21,10.0
9965,2,20,2,3,18,0,15,15,3,18,11.0
9967,4,20,2,3,18,0,15,15,3,21,13.0
9968,2,20,2,3,18,0,15,15,9,24,14.0
10004,9,20,3,6,28,1,18,10,6,28,0.0
10005,10,20,3,6,28,1,18,10,12,40,1.0
10006,10,20,3,6,28,1,18,10,18,40,2.0
10007,10,20,3,6,28,1,18,10,12,40,3.0
10008,10,20,3,6,28,1,18,10,12,40,4.0
10009,10,20,3,6,28,1,18,10,12,34,5.0
10010,10,20,3,6,28,1,18,10,12,34,6.0
10011,8,20,3,6,28,1,18,10,6,34,7.0
10012,8,20,3,6,28,1,18,10,6,34,8.0
10013,0,20,3,6,28,1,18,10,6,40,9.0
10037,3,20,4,3,23,0,9,15,3,20,0.0
10038,5,20,4,3,23,0,9,15,6,29,1.0
10039,0,20,4,3,23,0,9,15,6,26,2.0
10040,5,20,4,3,23,0,9,15,6,20,3.0
10041,3,20,4,3,23,0,9,15,3,20,4.0
10042,8,20,4,3,23,0,9,15,6,29,5.0
10043,3,20,4,3,23,0,9,15,6,20,6.0
10044,0,20,4,3,23,0,9,15,3,29,7.0
10045,1,20,4,3,23,0,9,15,3,26,8.0
10046,0,20,4,3,23,0,9,15,3,26,9.0
10047,0,20,4,3,23,0,9,15,3,26,10.0
10048,5,20,4,3,23,0,9,15,9,29,11.0
10049,5,20,4,3,23,0,9,15,9,29,12.0
10050,3,20,4,3,23,0,9,15,3,23,13.0
10051,5,20,4,3,23,0,9,15,6,29,14.0
10141,10,20,6,6,28,1,18,5,6,34,1.0
10142,10,20,6,6,28,1,18,5,12,34,2.0
10143,10,20,6,6,28,1,18,5,6,28,3.0
10144,10,20,6,6,28,1,18,5,18,40,4.0
10173,3,20,7,3,23,0,9,5,6,29,0.0
10174,3,20,7,3,23,0,9,5,6,29,1.0
10175,3,20,7,3,23,0,9,5,3,23,2.0
10176,3,20,7,3,23,0,9,5,3,20,3.0
10177,0,20,7,3,23,0,9,5,9,20,4.0
10215,4,20,8,3,18,1,9,10,6,18,0.0
10216,4,20,8,3,18,1,9,10,3,21,1.0
10218,5,20,8,3,18,1,9,10,3,24,3.0
10219,0,20,8,3,18,1,9,10,6,18,4.0
10220,0,20,8,3,18,1,9,10,9,24,5.0
10221,0,20,8,3,18,1,9,10,3,18,6.0
10222,2,20,8,3,18,1,9,10,3,18,7.0
10223,10,20,8,3,18,1,9,10,3,21,8.0
10224,4,20,8,3,18,1,9,10,3,24,9.0
10271,2,20,9,6,18,0,18,10,12,24,0.0
10272,10,20,9,6,18,0,18,10,6,18,1.0
10273,5,20,9,6,18,0,18,10,12,30,2.0
10274,5,20,9,6,18,0,18,10,18,30,3.0
10275,10,20,9,6,18,0,18,10,12,24,4.0
10276,10,20,9,6,18,0,18,10,18,30,5.0
10277,5,20,9,6,18,0,18,10,12,24,6.0
10278,5,20,9,6,18,0,18,10,18,30,7.0
10279,5,20,9,6,18,0,18,10,6,18,8.0
10280,3,20,9,6,18,0,18,10,12,24,9.0
10349,4,21,0,6,28,1,12,10,12,34,0.0
10350,7,21,0,6,28,1,12,10,12,28,1.0
10351,7,21,0,6,28,1,12,10,18,40,2.0
10352,6,21,0,6,28,1,12,10,6,28,3.0
10353,6,21,0,6,28,1,12,10,6,40,4.0
10354,6,21,0,6,28,1,12,10,12,28,5.0
10355,8,21,0,6,28,1,12,10,6,28,6.0
10356,7,21,0,6,28,1,12,10,18,40,7.0
10357,8,21,0,6,28,1,12,10,6,40,8.0
10358,5,21,0,6,28,1,12,10,12,22,9.0
10398,5,21,1,3,18,0,9,15,9,15,0.0
10399,10,21,1,3,18,0,9,15,3,18,1.0
10400,7,21,1,3,18,0,9,15,3,24,2.0
10401,10,21,1,3,18,0,9,15,3,18,3.0
10402,6,21,1,3,18,0,9,15,3,15,4.0
10405,5,21,1,3,18,0,9,15,3,18,7.0
10406,6,21,1,3,18,0,9,15,9,24,8.0
10407,7,21,1,3,18,0,9,15,3,24,9.0
10408,6,21,1,3,18,0,9,15,3,18,10.0
10409,10,21,1,3,18,0,9,15,6,18,11.0
10411,5,21,1,3,18,0,9,15,3,18,13.0
10412,6,21,1,3,18,0,9,15,3,21,14.0
10453,6,21,2,3,23,1,12,5,3,29,0.0
10454,5,21,2,3,23,1,12,5,3,23,1.0
10455,7,21,2,3,23,1,12,5,3,29,2.0
10456,6,21,2,3,23,1,12,5,6,26,3.0
10457,7,21,2,3,23,1,12,5,3,23,4.0
10535,9,21,4,6,18,0,15,15,6,24,0.0
10536,10,21,4,6,18,0,15,15,12,30,1.0
10537,5,21,4,6,18,0,15,15,6,24,2.0
10538,6,21,4,6,18,0,15,15,6,12,3.0
10539,6,21,4,6,18,0,15,15,12,24,4.0
10540,6,21,4,6,18,0,15,15,6,30,5.0
10541,6,21,4,6,18,0,15,15,6,24,6.0
10542,6,21,4,6,18,0,15,15,6,30,7.0
10543,6,21,4,6,18,0,15,15,12,24,8.0
10544,6,21,4,6,18,0,15,15,6,30,9.0
10545,7,21,4,6,18,0,15,15,12,30,10.0
10546,6,21,4,6,18,0,15,15,6,18,11.0
10547,6,21,4,6,18,0,15,15,6,30,12.0
10548,7,21,4,6,18,0,15,15,12,24,13.0
10549,7,21,4,6,18,0,15,15,12,24,14.0
10576,5,21,5,3,28,1,9,5,6,28,0.0
10577,5,21,5,3,28,1,9,5,6,28,1.0
10578,6,21,5,3,28,1,9,5,6,25,2.0
10579,6,21,5,3,28,1,9,5,3,31,3.0
10580,6,21,5,3,28,1,9,5,3,31,4.0
10627,5,21,6,3,23,1,18,5,3,26,0.0
10629,10,21,6,3,23,1,18,5,9,29,2.0
10630,10,21,6,3,23,1,18,5,6,29,3.0
10631,5,21,6,3,23,1,18,5,3,20,4.0
10670,5,21,7,6,18,0,18,10,12,30,1.0
10671,0,21,7,6,18,0,18,10,12,12,2.0
10672,3,21,7,6,18,0,18,10,6,12,3.0
10673,4,21,7,6,18,0,18,10,6,12,4.0
10674,5,21,7,6,18,0,18,10,6,24,5.0
10675,5,21,7,6,18,0,18,10,6,24,6.0
10676,6,21,7,6,18,0,18,10,12,24,7.0
10677,6,21,7,6,18,0,18,10,6,12,8.0
10678,6,21,7,6,18,0,18,10,6,24,9.0
10707,4,21,8,6,28,0,9,15,18,40,0.0
10708,5,21,8,6,28,0,9,15,6,28,1.0
10709,5,21,8,6,28,0,9,15,6,28,2.0
10710,6,21,8,6,28,0,9,15,12,22,3.0
10711,6,21,8,6,28,0,9,15,12,28,4.0
10712,6,21,8,6,28,0,9,15,6,40,5.0
10713,5,21,8,6,28,0,9,15,12,28,6.0
10714,5,21,8,6,28,0,9,15,12,34,7.0
10715,6,21,8,6,28,0,9,15,12,40,8.0
10716,7,21,8,6,28,0,9,15,6,34,9.0
10717,4,21,8,6,28,0,9,15,6,28,10.0
10718,5,21,8,6,28,0,9,15,18,22,11.0
10719,4,21,8,6,28,0,9,15,6,22,12.0
10720,4,21,8,6,28,0,9,15,12,40,13.0
10721,5,21,8,6,28,0,9,15,12,34,14.0
10763,5,21,9,3,23,1,12,10,3,26,1.0
10764,4,21,9,3,23,1,12,10,3,29,2.0
10765,4,21,9,3,23,1,12,10,3,20,3.0
10766,4,21,9,3,23,1,12,10,9,20,4.0
10767,6,21,9,3,23,1,12,10,3,29,5.0
10768,5,21,9,3,23,1,12,10,6,26,6.0
10769,5,21,9,3,23,1,12,10,9,20,7.0
10770,6,21,9,3,23,1,12,10,6,23,8.0
10771,5,21,9,3,23,1,12,10,9,20,9.0
10865,4,22,1,3,18,0,9,5,3,21,0.0
10866,5,22,1,3,18,0,9,5,3,21,1.0
10867,1,22,1,3,18,0,9,5,6,24,2.0
10868,3,22,1,3,18,0,9,5,6,24,3.0
10869,4,22,1,3,18,0,9,5,6,21,4.0
10911,2,22,2,3,23,1,18,10,9,20,0.0
10912,2,22,2,3,23,1,18,10,3,23,1.0
10913,2,22,2,3,23,1,18,10,9,29,2.0
10914,2,22,2,3,23,1,18,10,9,29,3.0
10915,5,22,2,3,23,1,18,10,6,26,4.0
10916,4,22,2,3,23,1,18,10,3,20,5.0
10917,4,22,2,3,23,1,18,10,9,20,6.0
10918,4,22,2,3,23,1,18,10,3,26,7.0
10919,4,22,2,3,23,1,18,10,3,26,8.0
10920,5,22,2,3,23,1,18,10,6,20,9.0
10958,5,22,3,6,18,0,18,5,6,24,0.0
10959,3,22,3,6,18,0,18,5,6,18,1.0
10961,5,22,3,6,18,0,18,5,6,18,3.0
10962,9,22,3,6,18,0,18,5,12,24,4.0
11034,5,22,5,3,23,1,15,10,6,20,0.0
11035,7,22,5,3,23,1,15,10,9,29,1.0
11036,6,22,5,3,23,1,15,10,3,29,2.0
11037,6,22,5,3,23,1,15,10,6,29,3.0
11038,5,22,5,3,23,1,15,10,6,26,4.0
11040,6,22,5,3,23,1,15,10,9,29,6.0
11041,6,22,5,3,23,1,15,10,3,23,7.0
11042,3,22,5,3,23,1,15,10,3,23,8.0
11043,5,22,5,3,23,1,15,10,3,23,9.0
11075,7,22,6,6,23,1,9,5,12,35,0.0
11076,8,22,6,6,23,1,9,5,18,35,1.0
11077,4,22,6,6,23,1,9,5,6,35,2.0
11078,6,22,6,6,23,1,9,5,6,35,3.0
11079,8,22,6,6,23,1,9,5,18,35,4.0
11123,7,22,7,3,28,0,15,15,9,25,0.0
11126,4,22,7,3,28,0,15,15,6,34,3.0
11127,6,22,7,3,28,0,15,15,6,34,4.0
11128,10,22,7,3,28,0,15,15,3,31,5.0
11129,7,22,7,3,28,0,15,15,9,25,6.0
11130,10,22,7,3,28,0,15,15,3,25,7.0
11132,10,22,7,3,28,0,15,15,6,31,9.0
11133,10,22,7,3,28,0,15,15,3,31,10.0
11134,10,22,7,3,28,0,15,15,3,25,11.0
11135,10,22,7,3,28,0,15,15,6,31,12.0
11136,10,22,7,3,28,0,15,15,6,31,13.0
11137,10,22,7,3,28,0,15,15,3,31,14.0
11176,10,22,8,3,18,0,15,15,9,24,1.0
11177,5,22,8,3,18,0,15,15,6,21,2.0
11178,10,22,8,3,18,0,15,15,6,24,3.0
11179,10,22,8,3,18,0,15,15,3,24,4.0
11181,10,22,8,3,18,0,15,15,6,24,6.0
11182,10,22,8,3,18,0,15,15,3,24,7.0
11183,7,22,8,3,18,0,15,15,3,18,8.0
11184,7,22,8,3,18,0,15,15,3,18,9.0
11185,7,22,8,3,18,0,15,15,6,21,10.0
11186,9,22,8,3,18,0,15,15,3,18,11.0
11187,8,22,8,3,18,0,15,15,3,18,12.0
11188,10,22,8,3,18,0,15,15,9,24,13.0
11189,10,22,8,3,18,0,15,15,3,18,14.0
11224,6,22,9,6,18,1,12,15,12,30,0.0
11225,6,22,9,6,18,1,12,15,6,30,1.0
11226,6,22,9,6,18,1,12,15,12,24,2.0
11227,7,22,9,6,18,1,12,15,12,24,3.0
11228,7,22,9,6,18,1,12,15,12,24,4.0
11229,6,22,9,6,18,1,12,15,6,18,5.0
11230,8,22,9,6,18,1,12,15,6,24,6.0
11231,5,22,9,6,18,1,12,15,6,24,7.0
11232,4,22,9,6,18,1,12,15,6,18,8.0
11233,4,22,9,6,18,1,12,15,6,24,9.0
11234,8,22,9,6,18,1,12,15,6,18,10.0
11235,9,22,9,6,18,1,12,15,18,30,11.0
11236,7,22,9,6,18,1,12,15,6,18,12.0
11237,4,22,9,6,18,1,12,15,6,24,13.0
11238,6,22,9,6,18,1,12,15,6,18,14.0
11278,10,22,10,6,23,0,9,10,12,29,0.0
11279,6,22,10,6,23,0,9,10,18,17,1.0
11280,10,22,10,6,23,0,9,10,6,29,2.0
